Date,TAF,topic
9/29/2024,192,SONOMA/WML
9/30/2024,193,SONOMA/WML
10/1/2024,192,SONOMA/WML
10/2/2024,194,SONOMA/WML
10/5/2024,193,SONOMA/WML
10/4/2024,191,SONOMA/WML
10/5/2024,193,SONOMA/WML
10/6/2024,192,SONOMA/WML
10/7/2024,192,SONOMA/WML
9/29/2024,2000,OROVILLE/WML
9/30/2024,2001,OROVILLE/WML
10/1/2024,1999,OROVILLE/WML
10/2/2024,2000,OROVILLE/WML
10/5/2024,2000,OROVILLE/WML
10/4/2024,2000,OROVILLE/WML
10/5/2024,2000,OROVILLE/WML
10/6/2024,2000,OROVILLE/WML
10/7/2024,2000,OROVILLE/WML
9/29/2024,2720,SHASTA/WML
9/30/2024,2727,SHASTA/WML
10/1/2024,2721,SHASTA/WML
10/2/2024,2727,SHASTA/WML
10/5/2024,2722,SHASTA/WML
10/4/2024,2721,SHASTA/WML
10/5/2024,2727,SHASTA/WML
10/6/2024,2726,SHASTA/WML
10/7/2024,2727,SHASTA/WML
